ICDAR 2019 Dataset Split Summary
========================================
Random seed: 42
Train ratio: 0.8
Total pairs: 10000
Training pairs: 8000
Test pairs: 2000
Successfully moved: 2000

Test files moved:
  tr_img_07242.jpg -> tr_img_07242.txt
  tr_img_09804.jpg -> tr_img_09804.txt
  tr_img_02359.jpg -> tr_img_02359.txt
  tr_img_08558.jpg -> tr_img_08558.txt
  tr_img_04718.jpg -> tr_img_04718.txt
  tr_img_04661.jpg -> tr_img_04661.txt
  tr_img_01942.jpg -> tr_img_01942.txt
  tr_img_03266.jpg -> tr_img_03266.txt
  tr_img_05732.jpg -> tr_img_05732.txt
  tr_img_06924.jpg -> tr_img_06924.txt
  tr_img_00574.jpg -> tr_img_00574.txt
  tr_img_08346.jpg -> tr_img_08346.txt
  tr_img_07881.jpg -> tr_img_07881.txt
  tr_img_09396.jpg -> tr_img_09396.txt
  tr_img_09573.jpg -> tr_img_09573.txt
  tr_img_03229.jpg -> tr_img_03229.txt
  tr_img_06076.jpg -> tr_img_06076.txt
  tr_img_04331.jpg -> tr_img_04331.txt
  tr_img_03356.jpg -> tr_img_03356.txt
  tr_img_05724.jpg -> tr_img_05724.txt
  tr_img_01418.jpg -> tr_img_01418.txt
  tr_img_07610.jpg -> tr_img_07610.txt
  tr_img_05549.jpg -> tr_img_05549.txt
  tr_img_01094.jpg -> tr_img_01094.txt
  tr_img_08037.jpg -> tr_img_08037.txt
  tr_img_08835.jpg -> tr_img_08835.txt
  tr_img_01460.jpg -> tr_img_01460.txt
  tr_img_03287.jpg -> tr_img_03287.txt
  tr_img_02471.jpg -> tr_img_02471.txt
  tr_img_07611.jpg -> tr_img_07611.txt
  tr_img_00233.jpg -> tr_img_00233.txt
  tr_img_06237.jpg -> tr_img_06237.txt
  tr_img_05311.jpg -> tr_img_05311.txt
  tr_img_07077.jpg -> tr_img_07077.txt
  tr_img_08442.jpg -> tr_img_08442.txt
  tr_img_00872.jpg -> tr_img_00872.txt
  tr_img_00045.jpg -> tr_img_00045.txt
  tr_img_00756.jpg -> tr_img_00756.txt
  tr_img_04227.jpg -> tr_img_04227.txt
  tr_img_08507.jpg -> tr_img_08507.txt
  tr_img_09135.jpg -> tr_img_09135.txt
  tr_img_08146.jpg -> tr_img_08146.txt
  tr_img_06349.jpg -> tr_img_06349.txt
  tr_img_09262.jpg -> tr_img_09262.txt
  tr_img_04525.jpg -> tr_img_04525.txt
  tr_img_08494.jpg -> tr_img_08494.txt
  tr_img_04624.jpg -> tr_img_04624.txt
  tr_img_03124.jpg -> tr_img_03124.txt
  tr_img_09056.jpg -> tr_img_09056.txt
  tr_img_03984.jpg -> tr_img_03984.txt
  tr_img_09122.jpg -> tr_img_09122.txt
  tr_img_08966.jpg -> tr_img_08966.txt
  tr_img_02874.jpg -> tr_img_02874.txt
  tr_img_08012.jpg -> tr_img_08012.txt
  tr_img_03744.jpg -> tr_img_03744.txt
  tr_img_00677.jpg -> tr_img_00677.txt
  tr_img_02195.jpg -> tr_img_02195.txt
  tr_img_01100.jpg -> tr_img_01100.txt
  tr_img_06109.jpg -> tr_img_06109.txt
  tr_img_07191.jpg -> tr_img_07191.txt
  tr_img_00793.jpg -> tr_img_00793.txt
  tr_img_07650.jpg -> tr_img_07650.txt
  tr_img_02152.jpg -> tr_img_02152.txt
  tr_img_04343.jpg -> tr_img_04343.txt
  tr_img_09597.jpg -> tr_img_09597.txt
  tr_img_03767.jpg -> tr_img_03767.txt
  tr_img_09534.jpg -> tr_img_09534.txt
  tr_img_03329.jpg -> tr_img_03329.txt
  tr_img_08798.jpg -> tr_img_08798.txt
  tr_img_00340.jpg -> tr_img_00340.txt
  tr_img_02370.jpg -> tr_img_02370.txt
  tr_img_05277.jpg -> tr_img_05277.txt
  tr_img_02333.jpg -> tr_img_02333.txt
  tr_img_03818.jpg -> tr_img_03818.txt
  tr_img_05563.jpg -> tr_img_05563.txt
  tr_img_00740.jpg -> tr_img_00740.txt
  tr_img_04278.jpg -> tr_img_04278.txt
  tr_img_01917.jpg -> tr_img_01917.txt
  tr_img_03406.jpg -> tr_img_03406.txt
  tr_img_05558.jpg -> tr_img_05558.txt
  tr_img_04888.jpg -> tr_img_04888.txt
  tr_img_05821.jpg -> tr_img_05821.txt
  tr_img_03560.jpg -> tr_img_03560.txt
  tr_img_07519.jpg -> tr_img_07519.txt
  tr_img_03504.jpg -> tr_img_03504.txt
  tr_img_00090.jpg -> tr_img_00090.txt
  tr_img_07781.jpg -> tr_img_07781.txt
  tr_img_01569.jpg -> tr_img_01569.txt
  tr_img_02344.jpg -> tr_img_02344.txt
  tr_img_08978.jpg -> tr_img_08978.txt
  tr_img_05681.jpg -> tr_img_05681.txt
  tr_img_09410.png -> tr_img_09410.txt
  tr_img_03213.jpg -> tr_img_03213.txt
  tr_img_04455.jpg -> tr_img_04455.txt
  tr_img_05862.jpg -> tr_img_05862.txt
  tr_img_07597.jpg -> tr_img_07597.txt
  tr_img_08762.jpg -> tr_img_08762.txt
  tr_img_00722.jpg -> tr_img_00722.txt
  tr_img_06107.jpg -> tr_img_06107.txt
  tr_img_09472.jpg -> tr_img_09472.txt
